lat,lon,gender
"39.86214266049823","-75.14675394782915",female
"40.723209620612145","-73.99560213088989",male
"32.82180334188937","-117.13341780299982",female
"50.47039375803131","30.62286052652032",male
"42.35374448283137","-83.0535024930339",female
"40.944930541902046","-81.45178923986892",female
"42.40074617881636","-71.0709390054142",female
"33.753441","-84.384757",female
"60.08409690129078","29.959501146274242",male
"33.736368","-84.306861",male
"39.76751069387127","-86.1562554433765",female
"28.453750775846245","-81.47021055221558",female
"51.051077828635556","3.7322129399555037",male
"20.674636778648395","-103.35643664002419",male
"-23.594532939535878","-46.832395650418626",male
"40.00201305600135","-83.00979709397434",male
"39.73159294678752","-105.15878200599032",male
"-32.78795422056684","-71.53250558358769",none
"40.00016","-76.35685558333333",male
"40.3165689218696","-80.20519963573082",male
"60.265465","25.00158",male
"40.721879","-73.983612",female
"-36.62246105613232","-72.13153267616944",female
"38.53628298781245","-121.74903988838196",male
"39.37565843906937","-76.72296785112577",female
"39.95971216666667","-74.946872",male
"40.69173436743573","-73.97782902477084",female
"41.867587414248895","-87.61371374130249",male
"43.01400099128557","-89.48250364233267",male
"30.0016435610888","-90.1278018951416",female
"59.318645","18.075484",male
"43.148202","-77.578191",male
"33.082063","-96.89212",male
"41.61232574703839","-83.7035434843561",male
"41.67850737307511","-83.52658024979117",female
"40.6927361890968","-83.97907920661704",male
"32.99873016408212","-96.79426074028015",female
"41.406594591348515","-81.80259305238005",female
"18.147452419676803","-94.43178981542587",male
"34.53682345812287","-86.91078186035156",male
"40.83215786083983","-77.8013563156128",female
"39.869804776540235","-86.14309072494507",female
"38.043532","-97.902382",male
"39.642824","-79.954496",female
"33.60647934143277","-117.69161939620972",male
"42.28061051666667","-83.17245096666667",male
"19.258830765398898","-99.62129294872284",male
"33.96242241082963","-83.38469028979492",female
"32.755035","-97.330776",female
"28.553276637716234","-81.2034273147583",male
"40.79591055783398","-74.06678470894381",male
"44.49597866120682","-89.53126132449397",female
"33.945839","-118.3322811126709",female
"-1.4613772170830452","-48.489044308662415",male
"40.44833005242617","-3.6760776507216963",female
"37.67117177271403","-122.47064846682814",male
"55.69737081500688","37.893782250101495",female
"-33.026099368687966","-71.63379003129798",male
"40.67239811357952","-73.80717638676344",female
"35.65467224511223","-78.4755246750178",male
"14.560718534024582","121.0254818201065",male
"21.259848","-157.811714",female
"42.4890993","-83.27408594",male
"52.1310499357639","6.611419916152954",male
"48.83213925106472","2.38527774810791",female
"45.0288008192965","-93.4646001283459",female
"43.18786","-77.505897",female
"40.76646754620873","-83.81709287303096",male
"-23.606010491838873","-46.70554562424484",female
"41.5827","-87.87202",male
"43.12698203083926","-89.31073386169554",male
"-23.62656","-46.671702",male
"55.77410060758146","37.616385325630986",female
"39.400188324252994","-76.66744709014893",male
"-25.43918028409746","-49.29522657749609",male
"44.305867750000004","-78.318209",male
"33.993565386821224","-81.03060051148975",female
"34.956504751641184","137.01477403336753",male
"-15.840766","-47.972775119999994",male
"27.918515","-82.34287",female
"40.75366445276572","-73.9946788718774",male
"28.553141","-81.360006",male
"37.807396442272335","-122.41048782077914",male
"35.470855026328664","-97.75058897465668",female
"44.817396","-68.812558",male
"38.522412988127265","-77.55563627104883",male
"39.297277058505586","-94.71590280532837",male
"18.985417553442858","-98.2038688659668",female
"42.64417518035809","-71.33487128988169",male
"51.47981","-2.530219",none
"40.969506226651234","-73.70853366175511",female
"41.885745306052954","-87.63096570968628",male
"40.738509","-73.286732",female
"30.65596646129188","-87.9074478149414",male
"42.62364629049851","-82.90689991800505",female
"39.86214266049823","-75.14675394782915",female
"60.16665228995848","24.76788981302381",male
"37.77727","-122.406294",male
"40.723209620612145","-73.99560213088989",male
"32.82180334188937","-117.13341780299982",female
"50.47039375803131","30.62286052652032",male
"52.526686175210514","13.396857510617776",male
"37.739676","-122.467313",none
"32.087027","-81.08284593879867",male
"42.35374448283137","-83.0535024930339",female
"40.944930541902046","-81.45178923986892",female
"42.40074617881636","-71.0709390054142",female
"33.753441","-84.384757",female
"60.08409690129078","29.959501146274242",male
"33.736368","-84.306861",male
"55.755203331846616","37.60071873664856",female
"29.299207216950162","47.895095364458065",female
"47.24621157579376","-97.01400108145978",female
"39.76751069387127","-86.1562554433765",female
"28.453750775846245","-81.47021055221558",female
"51.051077828635556","3.7322129399555037",male
"20.674636778648395","-103.35643664002419",male
"-23.594532939535878","-46.832395650418626",male
"40.00201305600135","-83.00979709397434",male
"39.73159294678752","-105.15878200599032",male
"-32.78795422056684","-71.53250558358769",none
"40.00016","-76.35685558333333",male
"40.3165689218696","-80.20519963573082",male
"60.265465","25.00158",male
"40.721879","-73.983612",female
"-36.62246105613232","-72.13153267616944",female
"43.13732010351101","-89.30326278748674",female
"40.85491609612425","-74.63699340820312",female
"42.040037512779236","-93.62757503986359",female
"30.39814","-97.74657",female
"33.44321429729462","-84.32513236999512",male
"40.28095913342221","-111.68972591367181",male
"42.300567626953125","-83.39852142333984",male
"33.93073358397808","-84.35196872019694",female
"48.77342245676383","9.186023787955312",male
"40.958536055859504","-74.30955537007395",male
"52.312486429380996","6.495065689086914",female
"40.781333","-73.97965",female
"42.34655464253528","-71.05853719518122",male
"-26.021385528365947","28.01365613937378",male
"29.43556789694337","-98.64909868118676",female
"48.858810271315136","2.340114452453111",male
"40.29948425292969","-79.68008422851562",male
"-34.917237","-54.957572",male
"33.578969","-86.27535",none
"34.169734","-118.60631",male
"41.007585","-75.280698",female
"37.05045606679838","-94.47503473532532",female
"20.735957225628308","-103.3777642250061",male
"41.067992","28.998816",male
