source,target,"_mkv_child"
"flare.scale.LinearScale","flare.scale.QuantitativeScale",3
"flare.scale.LinearScale","flare.scale.ScaleType",4
"flare.scale.IScaleMap","flare.scale.Scale",0
"flare.query.Xor","flare.query.CompositeExpression",0
"flare.query.Xor","flare.query.Expression",1
"flare.query.Variance","flare.query.Expression",0
"flare.query.Variance","flare.query.AggregateExpression",1
"flare.query.Variable","flare.query.Expression",0
"flare.query.Variable","flare.util.Property",1
"flare.query.Sum","flare.query.Expression",0
"flare.query.Sum","flare.query.AggregateExpression",1
"flare.query.StringUtil","flare.query.Fn",0
"flare.query.Range","flare.query.And",0
"flare.query.Range","flare.query.Comparison",1
"flare.query.Range","flare.query.Expression",2
"flare.query.Query","flare.query.Variable",0
"flare.query.Query","flare.query.Sum",1
"flare.query.Query","flare.query.Expression",2
"flare.query.Query","flare.util.Sort",3
"flare.query.Query","flare.query.Not",4
"flare.query.Query","flare.query.AggregateExpression",5
"flare.query.Query","flare.query.Literal",6
"flare.query.Query","flare.util.Filter",7
"flare.query.Query","flare.util.Property",8
"flare.query.Query","flare.query.If",9
"flare.query.Or","flare.query.CompositeExpression",0
"flare.query.Or","flare.query.Expression",1
"flare.query.Not","flare.query.Expression",0
"flare.query.Minimum","flare.query.Expression",0
"flare.query.Minimum","flare.query.AggregateExpression",1
"flare.query.methods._","flare.query.Literal",0
"flare.query.methods._","flare.query.methods.or",1
"flare.query.methods.xor","flare.query.Xor",0
"flare.query.methods.xor","flare.query.methods.or",1
"flare.query.methods.where","flare.query.Query",0
"flare.query.methods.where","flare.query.methods.lt",1
"flare.query.methods.where","flare.query.methods.lte",2
"flare.query.methods.variance","flare.query.Variance",0
"flare.query.methods.variance","flare.query.methods.or",1
"flare.query.methods.update","flare.query.Query",0
"flare.query.methods.sum","flare.query.Sum",0
"flare.query.methods.sum","flare.query.methods.or",1
"flare.query.methods.sub","flare.query.methods.or",0
"flare.query.methods.sub","flare.query.Arithmetic",1
"flare.query.methods.stddev","flare.query.methods.and",0
"flare.query.methods.stddev","flare.query.Variance",1
"flare.query.methods.stddev","flare.query.methods.or",2
"flare.query.methods.select","flare.query.Query",0
"flare.query.methods.range","flare.query.methods.max",0
"flare.query.methods.range","flare.query.Range",1
"flare.query.methods.range","flare.query.methods.or",2
"flare.query.methods.range","flare.query.methods.min",3
"flare.query.methods.orderby","flare.query.Query",0
"flare.query.methods.orderby","flare.query.methods.or",1
"flare.query.methods.or","flare.query.Or",0
"flare.query.methods.not","flare.query.Not",0
"flare.query.methods.not","flare.query.methods.or",1
"flare.query.methods.neq","flare.query.Comparison",0
"flare.query.methods.neq","flare.query.methods.eq",1
"flare.query.methods.neq","flare.query.methods.or",2
"flare.query.methods.mul","flare.query.methods.lt",0
"flare.query.methods.mul","flare.query.methods.or",1
"flare.query.methods.mul","flare.query.Arithmetic",2
"flare.query.methods.mod","flare.query.methods.or",0
"flare.query.methods.mod","flare.query.Arithmetic",1
"flare.query.methods.min","flare.query.Minimum",0
"flare.query.methods.min","flare.query.methods.or",1
"flare.query.methods.max","flare.query.Maximum",0
"flare.query.methods.max","flare.query.methods.or",1
"flare.query.methods.lte","flare.query.Comparison",0
"flare.query.methods.lte","flare.query.methods.lt",1
"flare.query.methods.lte","flare.query.methods.eq",2
"flare.query.methods.lte","flare.query.methods.or",3
"flare.query.methods.lt","flare.query.Comparison",0
"flare.query.methods.lt","flare.query.methods.or",1
"flare.query.methods.isa","flare.query.IsA",0
"flare.query.methods.isa","flare.query.methods.or",1
"flare.query.methods.iff","flare.query.methods.or",0
"flare.query.methods.iff","flare.query.If",1
"flare.query.methods.gte","flare.query.Comparison",0
"flare.query.methods.gte","flare.query.methods.gt",1
"flare.query.methods.gte","flare.query.methods.eq",2
"flare.query.methods.gte","flare.query.methods.or",3
"flare.query.methods.gt","flare.query.Comparison",0
"flare.query.methods.gt","flare.query.methods.or",1
"flare.query.methods.fn","flare.query.methods.or",0
"flare.query.methods.fn","flare.query.Fn",1
"flare.query.methods.eq","flare.query.Comparison",0
"flare.query.methods.eq","flare.query.methods.or",1
"flare.query.methods.div","flare.query.methods.or",0
"flare.query.methods.div","flare.query.Arithmetic",1
"flare.query.methods.distinct","flare.query.Distinct",0
"flare.query.methods.distinct","flare.query.methods.or",1
"flare.query.methods.count","flare.query.Count",0
"flare.query.methods.count","flare.query.methods.or",1
"flare.query.methods.average","flare.query.Average",0
"flare.query.methods.average","flare.query.methods.or",1
"flare.query.methods.and","flare.query.And",0
"flare.query.methods.and","flare.query.methods.or",1
"flare.query.methods.add","flare.query.methods.or",0
"flare.query.methods.add","flare.query.Arithmetic",1
"flare.query.Maximum","flare.query.Expression",0
"flare.query.Maximum","flare.query.AggregateExpression",1
"flare.query.Match","flare.query.BinaryExpression",0
"flare.query.Match","flare.query.Expression",1
"flare.query.Match","flare.query.StringUtil",2
"flare.query.Literal","flare.query.Expression",0
"flare.query.IsA","flare.query.Expression",0
"flare.query.IsA","flare.query.If",1
"flare.query.If","flare.query.Expression",0
"flare.query.Fn","flare.query.DateUtil",0
"flare.query.Fn","flare.query.CompositeExpression",1
"flare.query.Fn","flare.query.Expression",2
"flare.query.Fn","flare.query.StringUtil",3
"flare.query.ExpressionIterator","flare.query.Expression",0
"flare.query.Expression","flare.query.Variable",0
"flare.query.Expression","flare.query.IsA",1
"flare.query.Expression","flare.query.ExpressionIterator",2
"flare.query.Expression","flare.util.IPredicate",3
"flare.query.Expression","flare.query.Literal",4
"flare.query.Expression","flare.util.IEvaluable",5
"flare.query.Expression","flare.query.If",6
"flare.query.Distinct","flare.query.Expression",0
"flare.query.Distinct","flare.query.AggregateExpression",1
"flare.query.DateUtil","flare.query.Fn",0
"flare.query.Count","flare.query.Expression",0
"flare.query.Count","flare.query.AggregateExpression",1
"flare.query.CompositeExpression","flare.query.Expression",0
"flare.query.CompositeExpression","flare.query.If",1
"flare.query.Comparison","flare.query.Not",0
"flare.query.Comparison","flare.query.BinaryExpression",1
"flare.query.Comparison","flare.query.Expression",2
"flare.query.Comparison","flare.query.Or",3
"flare.query.BinaryExpression","flare.query.Expression",0
"flare.query.Average","flare.query.Expression",0
"flare.query.Average","flare.query.AggregateExpression",1
"flare.query.Arithmetic","flare.query.BinaryExpression",0
"flare.query.Arithmetic","flare.query.Expression",1
"flare.query.And","flare.query.CompositeExpression",0
"flare.query.And","flare.query.Expression",1
"flare.query.AggregateExpression","flare.query.Expression",0
"flare.physics.SpringForce","flare.physics.Simulation",0
"flare.physics.SpringForce","flare.physics.Particle",1
"flare.physics.SpringForce","flare.physics.Spring",2
"flare.physics.SpringForce","flare.physics.IForce",3
"flare.physics.Spring","flare.physics.Particle",0
"flare.physics.Simulation","flare.physics.Particle",0
"flare.physics.Simulation","flare.physics.NBodyForce",1
"flare.physics.Simulation","flare.physics.DragForce",2
"flare.physics.Simulation","flare.physics.GravityForce",3
"flare.physics.Simulation","flare.physics.Spring",4
"flare.physics.Simulation","flare.physics.SpringForce",5
"flare.physics.Simulation","flare.physics.IForce",6
"flare.physics.Particle",,0
"flare.physics.NBodyForce","flare.physics.Simulation",0
"flare.physics.NBodyForce","flare.physics.Particle",1
"flare.physics.NBodyForce","flare.physics.IForce",2
"flare.physics.IForce","flare.physics.Simulation",0
"flare.physics.GravityForce","flare.physics.Simulation",0
"flare.physics.GravityForce","flare.physics.Particle",1
"flare.physics.GravityForce","flare.physics.IForce",2
"flare.physics.DragForce","flare.physics.Simulation",0
"flare.physics.DragForce","flare.physics.Particle",1
"flare.physics.DragForce","flare.physics.IForce",2
"flare.flex.FlareVis","flare.display.DirtySprite",0
"flare.flex.FlareVis","flare.data.DataSet",1
"flare.flex.FlareVis","flare.vis.Visualization",2
"flare.flex.FlareVis","flare.vis.axis.CartesianAxes",3
"flare.flex.FlareVis","flare.vis.axis.Axes",4
"flare.flex.FlareVis","flare.vis.data.Data",5
"flare.display.TextSprite","flare.display.DirtySprite",0
"flare.display.RectSprite","flare.util.Colors",0
"flare.display.RectSprite","flare.display.DirtySprite",1
"flare.display.LineSprite","flare.display.DirtySprite",0
"flare.display.DirtySprite",,0
"flare.data.DataUtil","flare.data.DataField",0
"flare.data.DataUtil","flare.data.DataSchema",1
"flare.data.DataTable","flare.data.DataSchema",0
"flare.data.DataSource","flare.data.converters.IDataConverter",0
"flare.data.DataSource","flare.data.converters.Converters",1
"flare.data.DataSource","flare.data.DataSchema",2
"flare.data.DataSet","flare.data.DataTable",0
"flare.data.DataSchema","flare.data.DataField",0
"flare.data.DataSchema","flare.util.Arrays",1
"flare.data.DataField","flare.data.DataUtil",0
"flare.data.converters.JSONConverter","flare.data.DataSet",0
"flare.data.converters.JSONConverter","flare.data.DataUtil",1
"flare.data.converters.JSONConverter","flare.data.DataTable",2
"flare.data.converters.JSONConverter","flare.data.converters.IDataConverter",3
"flare.data.converters.JSONConverter","flare.data.DataSchema",4
"flare.data.converters.JSONConverter","flare.data.DataField",5
"flare.data.converters.JSONConverter","flare.util.Property",6
"flare.data.converters.IDataConverter","flare.data.DataSet",0
"flare.data.converters.IDataConverter","flare.data.DataSchema",1
"flare.data.converters.GraphMLConverter","flare.data.DataSet",0
"flare.data.converters.GraphMLConverter","flare.data.DataUtil",1
"flare.data.converters.GraphMLConverter","flare.data.DataTable",2
"flare.data.converters.GraphMLConverter","flare.data.converters.IDataConverter",3
"flare.data.converters.GraphMLConverter","flare.data.DataSchema",4
"flare.data.converters.GraphMLConverter","flare.data.DataField",5
"flare.data.converters.DelimitedTextConverter","flare.data.DataSet",0
"flare.data.converters.DelimitedTextConverter","flare.data.DataUtil",1
"flare.data.converters.DelimitedTextConverter","flare.data.DataTable",2
"flare.data.converters.DelimitedTextConverter","flare.data.converters.IDataConverter",3
"flare.data.converters.DelimitedTextConverter","flare.data.DataSchema",4
"flare.data.converters.DelimitedTextConverter","flare.data.DataField",5
"flare.data.converters.Converters","flare.data.converters.IDataConverter",0
"flare.data.converters.Converters","flare.data.converters.GraphMLConverter",1
"flare.data.converters.Converters","flare.data.converters.JSONConverter",2
"flare.data.converters.Converters","flare.data.converters.DelimitedTextConverter",3
"flare.animate.Tween","flare.animate.Transitioner",0
"flare.animate.Tween","flare.animate.Transition",1
"flare.animate.Tween","flare.animate.interpolate.Interpolator",2
"flare.animate.Tween","flare.util.Property",3
"flare.animate.TransitionEvent","flare.animate.Transition",0
"flare.animate.Transitioner","flare.util.IValueProxy",0
"flare.animate.Transitioner","flare.animate.Parallel",1
"flare.animate.Transitioner","flare.animate.Easing",2
"flare.animate.Transitioner","flare.animate.Sequence",3
"flare.animate.Transitioner","flare.animate.Transition",4
"flare.animate.Transitioner","flare.animate.Tween",5
"flare.animate.Transitioner","flare.util.Property",6
"flare.animate.Transition","flare.animate.Transitioner",0
"flare.animate.Transition","flare.animate.TransitionEvent",1
"flare.animate.Transition","flare.animate.Scheduler",2
"flare.animate.Transition","flare.animate.Pause",3
"flare.animate.Transition","flare.animate.Parallel",4
"flare.animate.Transition","flare.animate.Easing",5
"flare.animate.Transition","flare.animate.Sequence",6
"flare.animate.Transition","flare.animate.ISchedulable",7
"flare.animate.Transition","flare.util.Maths",8
"flare.animate.Transition","flare.animate.Tween",9
"flare.animate.Sequence","flare.animate.Easing",0
"flare.animate.Sequence","flare.util.Maths",1
"flare.animate.Sequence","flare.animate.Transition",2
"flare.animate.Sequence","flare.util.Arrays",3
"flare.animate.Scheduler","flare.animate.ISchedulable",0
"flare.animate.Scheduler","flare.animate.Pause",1
"flare.animate.Scheduler","flare.animate.Transition",2
"flare.animate.Pause","flare.animate.Transition",0
"flare.animate.Parallel","flare.animate.Easing",0
"flare.animate.Parallel","flare.animate.Transition",1
"flare.animate.Parallel","flare.util.Arrays",2
"flare.animate.ISchedulable","flare.animate.Scheduler",0
"flare.animate.interpolate.RectangleInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.PointInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.ObjectInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.NumberInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.MatrixInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.NumberInterpolator",0
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.ColorInterpolator",1
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.PointInterpolator",2
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.ObjectInterpolator",3
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.MatrixInterpolator",4
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.RectangleInterpolator",5
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.DateInterpolator",6
"flare.animate.interpolate.Interpolator","flare.util.Property",7
"flare.animate.interpolate.Interpolator","flare.animate.interpolate.ArrayInterpolator",8
"flare.animate.interpolate.DateInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.ColorInterpolator","flare.animate.interpolate.Interpolator",0
"flare.animate.interpolate.ArrayInterpolator","flare.util.Arrays",0
"flare.animate.interpolate.ArrayInterpolator","flare.animate.interpolate.Interpolator",1
"flare.animate.FunctionSequence","flare.util.Maths",0
"flare.animate.FunctionSequence","flare.animate.Transition",1
"flare.animate.FunctionSequence","flare.util.Arrays",2
"flare.animate.FunctionSequence","flare.animate.Sequence",3
"flare.animate.FunctionSequence","flare.animate.Transitioner",4
"flare.animate.Easing","flare.animate.Transition",0
"flare.analytics.optimization.AspectRatioBanker","flare.animate.Transitioner",0
"flare.analytics.optimization.AspectRatioBanker","flare.util.Arrays",1
"flare.analytics.optimization.AspectRatioBanker","flare.vis.data.DataSprite",2
"flare.analytics.optimization.AspectRatioBanker","flare.scale.Scale",3
"flare.analytics.optimization.AspectRatioBanker","flare.vis.axis.CartesianAxes",4
"flare.analytics.optimization.AspectRatioBanker","flare.vis.Visualization",5
"flare.analytics.optimization.AspectRatioBanker","flare.util.Property",6
"flare.analytics.optimization.AspectRatioBanker","flare.vis.operator.Operator",7
"flare.analytics.graph.SpanningTree","flare.animate.Transitioner",0
"flare.analytics.graph.SpanningTree","flare.vis.data.NodeSprite",1
"flare.analytics.graph.SpanningTree","flare.vis.operator.IOperator",2
"flare.analytics.graph.SpanningTree","flare.vis.Visualization",3
"flare.analytics.graph.SpanningTree","flare.vis.data.TreeBuilder",4
"flare.analytics.graph.SpanningTree","flare.vis.operator.Operator",5
"flare.analytics.graph.ShortestPaths","flare.vis.data.EdgeSprite",0
"flare.analytics.graph.ShortestPaths","flare.vis.data.NodeSprite",1
"flare.analytics.graph.ShortestPaths","flare.animate.Transitioner",2
"flare.analytics.graph.ShortestPaths","flare.vis.operator.Operator",3
"flare.analytics.graph.ShortestPaths","flare.util.heap.HeapNode",4
"flare.analytics.graph.ShortestPaths","flare.util.heap.FibonacciHeap",5
"flare.analytics.graph.ShortestPaths","flare.util.Property",6
"flare.analytics.graph.ShortestPaths","flare.vis.data.Data",7
"flare.analytics.graph.MaxFlowMinCut","flare.animate.Transitioner",0
"flare.analytics.graph.MaxFlowMinCut","flare.vis.data.NodeSprite",1
"flare.analytics.graph.MaxFlowMinCut","flare.vis.data.EdgeSprite",2
"flare.analytics.graph.MaxFlowMinCut","flare.vis.data.Data",3
"flare.analytics.graph.MaxFlowMinCut","flare.util.Property",4
"flare.analytics.graph.MaxFlowMinCut","flare.vis.operator.Operator",5
"flare.analytics.graph.LinkDistance","flare.animate.Transitioner",0
"flare.analytics.graph.LinkDistance","flare.vis.data.NodeSprite",1
"flare.analytics.graph.LinkDistance","flare.vis.data.EdgeSprite",2
"flare.analytics.graph.LinkDistance","flare.analytics.graph.ShortestPaths",3
"flare.analytics.graph.LinkDistance","flare.vis.data.Data",4
"flare.analytics.graph.LinkDistance","flare.util.Property",5
"flare.analytics.graph.LinkDistance","flare.vis.operator.Operator",6
"flare.analytics.graph.BetweennessCentrality","flare.animate.Transitioner",0
"flare.analytics.graph.BetweennessCentrality","flare.vis.data.NodeSprite",1
"flare.analytics.graph.BetweennessCentrality","flare.vis.data.DataList",2
"flare.analytics.graph.BetweennessCentrality","flare.util.Arrays",3
"flare.analytics.graph.BetweennessCentrality","flare.vis.data.Data",4
"flare.analytics.graph.BetweennessCentrality","flare.util.Property",5
"flare.analytics.graph.BetweennessCentrality","flare.vis.operator.Operator",6
"flare.analytics.cluster.MergeEdge",,0
"flare.analytics.cluster.HierarchicalCluster","flare.vis.data.EdgeSprite",0
"flare.analytics.cluster.HierarchicalCluster","flare.vis.data.NodeSprite",1
"flare.analytics.cluster.HierarchicalCluster","flare.vis.data.DataList",2
"flare.analytics.cluster.HierarchicalCluster","flare.vis.data.Tree",3
"flare.analytics.cluster.HierarchicalCluster","flare.util.Arrays",4
"flare.analytics.cluster.HierarchicalCluster","flare.analytics.cluster.MergeEdge",5
"flare.analytics.cluster.HierarchicalCluster","flare.util.Sort",6
"flare.analytics.cluster.HierarchicalCluster","flare.vis.operator.Operator",7
"flare.analytics.cluster.HierarchicalCluster","flare.util.Property",8
"flare.analytics.cluster.HierarchicalCluster","flare.vis.data.Data",9
"flare.analytics.cluster.CommunityStructure","flare.analytics.cluster.HierarchicalCluster",0
"flare.analytics.cluster.CommunityStructure","flare.animate.Transitioner",1
"flare.analytics.cluster.CommunityStructure","flare.vis.data.DataList",2
"flare.analytics.cluster.CommunityStructure","flare.analytics.cluster.MergeEdge",3
"flare.analytics.cluster.CommunityStructure","flare.util.math.IMatrix",4
"flare.analytics.cluster.AgglomerativeCluster","flare.animate.Transitioner",0
"flare.analytics.cluster.AgglomerativeCluster","flare.vis.data.DataList",1
"flare.analytics.cluster.AgglomerativeCluster","flare.util.math.IMatrix",2
"flare.analytics.cluster.AgglomerativeCluster","flare.analytics.cluster.MergeEdge",3
"flare.analytics.cluster.AgglomerativeCluster","flare.analytics.cluster.HierarchicalCluster",4
"flare.analytics.cluster.AgglomerativeCluster","flare.vis.data.Data",5
